RunID,AgentID,EvacuationStep,EvacuationTime
run001,-1252242,17,5.11
run001,-1252074,18,5.40
run001,-1251416,19,5.70
run001,-1251528,19,5.70
run001,-1252004,19,5.70
run001,-1251752,21,6.30
run001,-1251934,21,6.30
run001,-1251976,21,6.30
run001,-1252158,21,6.30
run001,-1251570,22,6.61
run001,-1251626,22,6.61
run001,-1251682,22,6.61
run001,-1251696,22,6.61
run001,-1252088,22,6.61
run001,-1251878,23,6.90
run001,-1251906,23,6.90
run001,-1252018,23,6.90
run001,-1251500,24,7.20
run001,-1251584,24,7.20
run001,-1252060,24,7.20
run001,-1251556,25,7.50
run001,-1251920,25,7.50
run001,-1251710,27,8.10
run001,-1251738,27,8.10
run001,-1251962,28,8.41
run001,-1252130,28,8.41
run001,-1252214,29,8.70
run001,-1252032,31,9.30
run001,-1252102,31,9.30
run001,-1251430,32,9.60
run001,-1251472,32,9.60
run001,-1251640,32,9.60
run001,-1251892,32,9.60
run001,-1251724,33,9.90
run001,-1252046,33,9.90
run001,-1252200,33,9.90
run001,-1251612,34,10.20
run001,-1252144,38,11.41
run001,-1251444,46,13.80
run001,-1252920,7,2.11
run001,-1252654,11,3.31
run001,-1252682,12,3.60
run001,-1253046,12,3.60
run001,-1252598,14,4.20
run001,-1252738,14,4.20
run001,-1252514,15,4.51
run001,-1252626,15,4.51
run001,-1252360,16,4.80
run001,-1252640,16,4.80
run001,-1252766,16,4.80
run001,-1252332,17,5.10
run001,-1252878,17,5.10
run001,-1252458,18,5.40
run001,-1252696,19,5.70
run001,-1252794,19,5.70
run001,-1252822,19,5.70
run001,-1253060,19,5.70
run001,-1252276,20,6.00
run001,-1252808,20,6.00
run001,-1252962,20,6.00
run001,-1252990,20,6.00
run001,-1252710,21,6.30
run001,-1252752,21,6.30
run001,-1252892,21,6.30
run001,-1252304,22,6.60
run001,-1252528,22,6.60
run001,-1252444,23,6.90
run001,-1252472,24,7.20
run001,-1252500,24,7.20
run001,-1252584,24,7.20
run001,-1252836,24,7.20
run001,-1252556,25,7.50
run001,-1252724,25,7.50
run001,-1252416,26,7.80
run001,-1252430,26,7.80
run001,-1252934,26,7.80
run001,-1252290,27,8.10
run001,-1253004,27,8.10
run001,-1252948,28,8.40
run001,-1253018,28,8.40
run001,-1252486,29,8.70
run001,-1252612,29,8.70
run001,-1252864,29,8.70
run001,-1252318,30,9.01
run001,-1253088,30,9.01
run001,-1252262,31,9.30
run001,-1252780,31,9.30
run001,-1252570,32,9.60
run001,-1252388,33,9.91
run001,-1252906,34,10.21
run001,-1252976,36,10.80
run001,-1252402,37,11.10
run001,-1252850,39,11.70
run001,-1252374,40,12.00
run001,-1252346,44,13.20
run001,-1252542,46,13.80
run001,-1253074,46,13.80
run001,-1253032,59,17.70
run001,-1253360,2,0.60
run001,-1253850,7,2.10
run001,-1253738,8,2.40
run001,-1253822,8,2.40
run001,-1253220,11,3.30
run001,-1253332,11,3.30
run001,-1253626,11,3.30
run001,-1253122,12,3.61
run001,-1253206,12,3.61
run001,-1253416,12,3.61
run001,-1253304,13,3.90
run001,-1253682,13,3.90
run001,-1253276,14,4.21
run001,-1253374,14,4.21
run001,-1253654,14,4.21
run001,-1253878,15,4.50
run001,-1253346,16,4.80
run001,-1253920,16,4.80
run001,-1253570,17,5.10
run001,-1253556,18,5.40
run001,-1253808,18,5.40
run001,-1253892,18,5.40
run001,-1253178,19,5.70
run001,-1253486,19,5.70
run001,-1253696,19,5.70
run001,-1253262,20,6.00
run001,-1253752,20,6.00
run001,-1253318,21,6.31
run001,-1253444,21,6.31
run001,-1253458,21,6.31
run001,-1253472,21,6.31
run001,-1253542,21,6.31
run001,-1253136,22,6.60
run001,-1253836,22,6.60
run001,-1253500,23,6.90
run001,-1253906,25,7.50
run001,-1253514,26,7.80
run001,-1253934,27,8.10
run001,-1253430,28,8.40
run001,-1253794,28,8.40
run001,-1253234,29,8.70
run001,-1253584,29,8.70
run001,-1253780,29,8.70
run001,-1253598,30,9.01
run001,-1253710,30,9.01
run001,-1253402,31,9.31
run001,-1253640,32,9.60
run001,-1253864,33,9.90
run001,-1253766,34,10.21
run001,-1253108,35,10.51
run001,-1253388,36,10.81
run001,-1253724,36,10.81
run001,-1253528,37,11.11
run001,-1253290,38,11.40
run001,-1253248,39,11.70
run001,-1253668,39,11.70
run001,-1253150,48,14.40
run001,-1253164,48,14.40
run001,-1253612,50,15.01
run001,-1254416,2,0.60
run001,-1254122,8,2.40
run001,-1254206,10,3.00
run001,-1254276,10,3.00
run001,-1254192,11,3.30
run001,-1254542,11,3.30
run001,-1254290,12,3.60
run001,-1254402,12,3.60
run001,-1254444,12,3.60
run001,-1254234,13,3.90
run001,-1254066,14,4.21
run001,-1254318,14,4.21
run001,-1254584,14,4.21
run001,-1254486,15,4.51
run001,-1254094,16,4.80
run001,-1254108,16,4.80
run001,-1254668,16,4.80
run001,-1254682,16,4.80
